Total orders received: 181
        OrderID           pcID            qty     profitRate      unitProfit
            105             15             10             74%           2257
            128              7             19             73%           2226
            206              7             24             72%           2196
            278             15              6             71%           2165
            186             14             26             74%           2109
            259             14             21             71%           2023
            153             13             23             71%           2023
            280              5              6             70%           1995
            233             15              3             65%           1982
            140              7             22             65%           1982
            125             14             12             69%           1966
            169              6              5             68%           1938
            209             14              8             68%           1938
            210              6              1             67%           1909
            216             14             25             67%           1909
            127              4             30             72%           1908
            192             12              3             72%           1908
            161             15              8             62%           1891
            156              7             18             62%           1891
            131              5             26             66%           1881
            273              4             17             70%           1855
            164              5              9             65%           1852
            172             15              8             60%           1830
            118             12             14             68%           1802
            226             13             12             63%           1795
            168              7             14             58%           1769
            229              6             14             62%           1767
            250             14              2             61%           1738
            272              4             15             65%           1722
            227             11              4             69%           1690
            130             13             26             59%           1681
            121              7              4             55%           1677
            194             12              3             63%           1669
            132             11             21             68%           1666
            240             11             12             68%           1666
            171              2              7             74%           1665
            152              9             26             74%           1665
            247              6              7             58%           1653
            148             10             21             73%           1642
            126              2             10             73%           1642
            170              9             12             73%           1642
            184             14             16             57%           1624
            246             13             27             57%           1624
            123              6             30             57%           1624
            107             11             27             66%           1617
            215              3              1             66%           1617
            199              3              3             65%           1592
            133             12             11             60%           1590
            204             10             19             70%           1575
            212             14             23             55%           1567
            197             13             13             55%           1567
            111              2             21             69%           1552
            188             11             28             63%           1543
            177              6              6             54%           1539
            221             10             14             68%           1530
            129              7             18             50%           1525
            185             13              4             53%           1510
            160             14             29             53%           1510
            180             10              7             67%           1507
            158              2              4             67%           1507
            190             11             15             61%           1494
            220              1             28             66%           1485
            222              8             23             72%           1476
            145              2             15             65%           1462
            252              6             21             51%           1453
            159              5             11             51%           1453
            112             13             16             51%           1453
            262             10             23             64%           1440
            115             15             24             47%           1433
            119              5             11             50%           1425
            231             11             28             58%           1421
            249              9             13             63%           1417
            256              2              8             63%           1417
            182              4             19             53%           1404
            265              2              8             62%           1395
            149              0              5             68%           1394
            253              0             27             67%           1373
            269             14             29             48%           1368
            179              8             16             66%           1353
            162             10              2             60%           1350
            208             11             13             54%           1323
            263              3             21             54%           1323
            205             10             15             58%           1305
            189              3             28             53%           1298
            181              3             28             53%           1298
            196             10              5             57%           1282
            254              6              5             45%           1282
            264              0             27             62%           1271
            110              0              4             61%           1250
            138              8             16             61%           1250
            155             12              2             47%           1245
            173              5              5             43%           1225
            255             11             26             49%           1200
            261              6             12             42%           1197
            232             10             12             53%           1192
            244             11             22             48%           1176
            207              5              1             41%           1168
            165             13              1             41%           1168
            154             15             19             38%           1159
            101              3              5             47%           1151
            217              8              4             56%           1148
            268             10              4             51%           1147
            223              9             14             51%           1147
            211              1              5             51%           1147
            202              6              7             39%           1111
            275              9              3             49%           1102
            104              8             24             53%           1086
            106             12             20             41%           1086
            147              9             23             48%           1080
            143             11              2             44%           1078
            193              4             18             40%           1060
            195              4              1             40%           1060
            174              5              6             37%           1054
            120             13             17             37%           1054
            235             14             22             37%           1054
            109              3              3             43%           1053
            276              8             22             51%           1045
            260              1              5             46%           1035
            142             14              7             36%           1026
            237             13              3             36%           1026
            245              6             12             36%           1026
            117              0             12             50%           1025
            270              0             12             50%           1025
            108              9             17             45%           1012
            239              4             11             38%           1007
            200              7             18             33%           1006
            178              3             29             41%           1004
            116             13             10             35%            997
            151              9             17             44%            990
            225             10              4             44%            990
            103              2              9             44%            990
            271             11              2             40%            980
            134             13              3             34%            969
            218              4             13             36%            954
            234             15             21             31%            945
            198              0              9             46%            943
            102              5             27             33%            940
            258              8             11             45%            922
            137              7             22             30%            915
            243              6             11             32%            912
            267             11              7             37%            906
            201              8             14             44%            902
            136              0             20             44%            902
            203             14             27             31%            883
            139             11              5             36%            882
            124             11              5             36%            882
            277              2              5             39%            877
            228             11             23             35%            857
            144              2              2             38%            855
            266              6              1             30%            855
            242              8             25             41%            840
            175              0             12             41%            840
            224             15              4             27%            823
            166             12             17             31%            821
            157             12             20             31%            821
            236             10             13             36%            810
            122              2             22             36%            810
            187              2             30             35%            787
            219              6             28             27%            769
            113              2             10             34%            765
            141              2              1             34%            765
            183             15             22             25%            762
            248              8             24             36%            738
            191              9              7             32%            720
            251              4             20             27%            715
            241              6              3             25%            712
            230             13             30             25%            712
            274              6             12             25%            712
            213              5             13             25%            712
            279              2             27             31%            697
            100              9              8             30%            675
            257             10             14             28%            630
            114              1             29             28%            630
            167              2             20             28%            630
            214              0             12             30%            615
            163              8              7             30%            615
            150              0             27             30%            615
            146              0              2             28%            574
            238              9             21             25%            562
            176              0             26             27%            553
